University	City/State	Academic Requirements	Language Requirements	Tuition Fee	Initial Deposit	Scholarship
Liverpool John Moores University International Study Centre	Liverpool, North West	Foundation (Jan/Sep/Nov Intake) 50% in HSSC	IELTS 5.5, PTE 59, TOEFL 72	£13,900 per year	GBP	-
Aston University ONCAMPUS Centre	Birmingham, West Midlands	Foundation (Jan/Sep/Nov Intake) 55% in Grade 11	IELTS 4.5, TOEFL 73	£19,900 per year	GBP	-
Birmingham City University International College	Birmingham, West Midlands	Foundation (Jan/Sep Intake) 50% in HSSC	IELTS 5.5, PTE 59, TOEFL 72	£13,500 per year	GBP	-
Nottingham Trent International College	Coventry, London	Foundation (June/Sep/Nov Intake) 50% in HSSC	IELTS 4.5, PTE 30	£14,995 per year	GBP	-
University of Chichester	-	Foundation (June/Sep/Nov Intake) 50% in HSSC	-	£14,995 per year	GBP	-
Leeds International Study Centre	Leeds, Yorkshire and the Humber	Foundation (Jan/Sep/Nov Intake) 50% in HSSC	IELTS 4.5, PTE 59, TOEFL 32	£12,500 per year	GBP	-
University of the West of England Bristol International College	Bristol, South West	Foundation (May/June/Sep Intake) 50% in HSSC	IELTS 4.5, PTE 30	£14,670-£16,000 per year	GBP	-
The University of Sheffield International College	Sheffield, Yorkshire and the Humber	Foundation (June/Sep Intake) 50% in HSSC	IELTS 5, PTE 59	£20,700 per year	GBP	-
Bournemouth University International College	Bournemouth, South West	Foundation (April/July Intake) 60% in HSSC	IELTS 4	£12,276 per year	GBP	-
University of Huddersfield International Study Centre	Yorkshire and the Humber	Foundation (Jan/Sep/Nov Intake) 50% in HSSC	IELTS 4.5, PTE 59	£13,700 per year	GBP	-
Teesside University International Study Centre	Middlesbrough, Yorkshire and the Humber	Foundation (Jan/Oct/Nov Intake) 50% in HSSC	IELTS 5.5, PTE 59	£12,750 per year	£5,000	£2,000-£5,000
Bangor University International College	Bangor	Foundation (Jan/June Intake) 50% in HSSC	IELTS 4.5	£16,000-£17,000 per year	GBP	-
Brunel University London Pathway College	-	Foundation (Jan/May Intake) 50% in HSSC	IELTS 5.5	GBP per year	GBP	-
De Montfort University International College	-	Foundation (Apr/Sep/Nov Intake) 45% in HSSC	IELTS 5.5	GBP per year	GBP	-
